Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
1869.53,0,18.0,2,6,1,79,9,4,0
4278.87,1,20.0,0,2,3,18,7,4,0
2494.27,1,13.0,0,6,3,44,6,4,1
4824.09,4,8.0,0,0,3,77,4,4,0
2520.59,3,14.0,0,1,2,40,12,3,0
1383.11,0,12.0,1,0,3,20,11,0,1
970.6,0,8.0,1,3,3,11,2,0,0
3474.15,0,17.0,0,1,2,50,14,3,0
2684.22,1,12.0,2,0,3,45,14,1,0
3021.97,4,10.0,0,6,1,8,14,1,0
3776.86,1,4.0,0,4,4,114,6,3,0
3630.89,3,18.0,0,6,3,37,1,4,0
221.6,2,5.0,0,2,3,116,9,4,0
4013.85,0,2.0,2,3,4,57,12,0,0
2665.85,0,15.0,0,4,2,48,7,3,0
1961.58,0,17.0,1,5,0,30,4,4,0
2689.91,1,9.0,0,0,2,77,12,4,0
3064.19,0,2.0,1,4,2,116,3,1,0
751.78,0,1.0,0,2,4,89,8,0,0
2089.99,2,0.0,2,1,3,16,11,0,0
1681.25,4,15.0,1,4,0,10,5,3,0
1755.29,3,15.0,2,0,1,9,1,0,0
461.22,1,22.0,1,2,4,104,1,4,0
803.42,3,21.0,0,3,4,67,3,1,0
813.35,4,3.0,2,0,2,28,11,4,0
1869.26,3,12.0,0,4,3,79,8,4,0
4472.99,1,18.0,2,1,0,100,14,0,0
1034.11,2,5.0,2,1,1,51,2,3,0
2083.88,3,15.0,2,6,4,30,8,0,0
1561.49,4,3.0,0,2,0,117,6,3,0
3937.98,1,5.0,0,1,3,119,13,1,0
255.38,4,6.0,2,5,2,41,1,0,0
2524.1000000000004,3,18.0,1,0,1,116,11,4,0
1057.15,1,19.0,0,5,0,47,13,4,0
4964.85,3,13.0,1,1,0,58,4,1,0
2856.02,0,12.0,1,4,3,44,11,3,0
699.1,1,21.0,2,0,4,38,1,0,0
1364.63,3,17.0,2,4,3,3,10,4,0
843.27,1,23.0,0,3,4,86,10,1,0
627.4,2,18.0,2,5,0,34,1,4,0
3986.92,0,2.0,1,1,3,109,11,0,0
2481.28,4,4.0,2,3,2,80,5,1,0
3157.89,3,9.0,0,5,2,43,1,0,0
1659.6,4,6.0,2,1,0,11,7,1,0
2770.71,3,14.0,2,5,0,90,4,0,0
1291.56,1,23.0,1,1,1,4,8,4,0
1543.64,4,22.0,2,6,2,3,13,1,0
3262.93,0,23.0,0,5,0,5,6,4,0
756.0,3,23.0,2,7,0,85,10,3,0
3088.02,4,17.0,0,6,1,91,3,0,0
4261.91,3,12.0,2,5,0,112,5,3,0
606.51,2,17.0,0,0,4,42,8,1,1
4487.82,2,8.0,0,6,2,83,14,3,0
401.83,4,3.0,0,3,2,49,2,4,0
1747.8,2,21.0,0,4,2,102,7,0,0
2524.1000000000004,0,14.0,1,7,0,115,13,1,0
2799.28,4,22.0,0,3,1,54,8,1,0
486.47,1,0.0,0,7,2,12,14,3,0
3995.57,4,14.0,2,3,2,12,3,1,0
4865.9,1,23.0,2,6,1,72,14,0,0
910.24,2,10.0,0,6,2,80,14,0,0
4476.18,4,0.0,2,3,1,83,9,0,0
2786.26,0,23.0,2,0,2,27,3,4,0
4679.99,2,13.0,0,6,1,40,7,0,0
884.55,2,14.0,2,1,3,93,7,3,0
3961.15,2,16.0,2,7,4,4,7,4,0
303.61,1,1.0,1,7,4,69,7,3,0
4416.57,1,17.0,2,3,1,16,14,3,0
3372.43,0,19.0,1,2,0,65,12,4,0
2524.1000000000004,1,17.0,0,6,4,69,11,4,0
956.38,3,21.0,0,5,2,23,10,3,0
4083.58,3,12.0,0,3,0,91,10,1,0
3018.19,4,6.0,2,0,4,5,8,4,0
1805.28,2,0.0,2,1,3,112,7,4,0
2221.96,3,1.0,2,1,0,11,11,3,0
4133.58,1,22.0,0,4,4,70,12,3,0
1697.94,0,18.0,2,7,0,114,3,0,0
452.72,1,15.0,0,2,0,72,2,1,0
4556.85,2,4.0,1,1,2,93,7,4,0
1939.78,2,1.0,0,4,4,27,12,1,0
1745.2,3,12.0,1,7,2,48,3,3,1
1025.98,3,18.0,1,2,0,13,2,0,0
4487.63,1,10.0,2,1,4,29,8,3,0
1091.44,4,21.0,0,4,1,65,14,4,0
2524.1000000000004,1,14.0,0,1,4,74,4,3,0
4404.42,3,12.0,2,0,2,36,9,3,0
179.39,4,22.0,0,6,2,66,12,3,0
49997.8,4,3.0,0,4,3,108,8,4,0
2055.94,3,12.0,1,4,4,68,13,4,0
3291.58,1,7.0,3,5,0,38,3,3,0
1865.16,0,14.0,2,0,1,96,1,0,0
3479.1,3,1.0,1,5,2,14,11,2,0
1275.2,1,19.0,1,0,1,97,11,3,0
114.54,0,12.0,2,5,3,86,2,4,0
4739.2,2,2.0,2,0,3,82,12,1,1
86.76,2,3.0,2,4,4,117,6,4,0
4121.38,2,4.0,1,2,3,76,13,3,0
849.84,0,4.0,0,6,2,76,7,4,0
1964.14,4,12.0,2,0,0,6,8,3,0
4113.35,2,19.0,2,0,0,5,5,0,0
1033.63,2,11.0,2,3,0,11,8,4,0
4329.21,4,22.0,1,0,0,86,6,3,0
2491.31,0,12.0,0,0,1,54,4,4,0
1833.94,0,15.0,0,2,0,117,12,1,0
3313.88,4,20.0,1,6,3,81,2,0,0
1710.24,3,2.0,1,6,4,76,3,4,0
1739.71,4,19.0,1,4,0,2,8,3,0
3668.96,1,2.0,3,2,2,102,9,1,0
1552.61,1,10.0,0,4,0,95,11,1,0
1007.86,3,5.0,2,7,3,78,13,4,0
4039.19,3,13.0,0,0,1,33,2,4,0
4027.83,1,3.0,0,4,1,34,10,4,0
2490.44,4,1.0,0,7,3,101,12,4,0
2635.64,0,14.0,0,5,0,63,2,4,0
3481.9,1,12.0,2,5,3,65,13,0,0
2524.1000000000004,4,11.0,1,2,3,13,14,1,1
2088.11,1,13.0,1,0,3,1,3,0,0
4974.5,0,17.0,0,2,2,27,13,1,0
742.46,1,13.0,0,1,3,20,10,4,0
2965.68,1,3.0,2,3,0,59,7,4,0
4429.89,0,17.0,0,4,1,39,6,4,1
3437.64,2,12.0,2,5,1,16,4,1,0
4405.21,1,16.0,0,0,2,48,3,4,0
1684.99,1,0.0,1,7,1,105,9,3,0
1363.6,1,15.0,0,1,1,69,14,3,0
4257.11,3,6.0,0,0,3,42,10,4,0
1973.6,3,22.0,2,4,1,8,9,0,0
3549.86,0,7.0,0,4,3,52,13,1,0
743.0,4,18.0,1,5,1,7,12,0,0
3780.41,3,13.0,1,4,2,89,11,3,0
2747.17,0,19.0,2,2,3,3,1,0,0
1346.72,3,18.0,1,1,3,7,11,4,0
2475.05,4,17.0,2,2,4,5,14,2,0
3486.23,3,21.0,1,1,0,98,9,4,0
64.37,2,18.0,2,0,3,80,1,4,0
3189.15,4,13.0,1,4,2,54,12,4,0
2710.25,4,3.0,2,6,4,33,13,0,0
1105.33,3,16.0,1,3,4,7,14,3,0
3766.14,3,10.0,0,5,4,98,13,1,0
1520.79,1,23.0,2,6,4,83,13,3,0
1387.92,1,17.0,1,6,1,119,7,3,0
2358.74,4,12.0,1,6,3,106,14,3,0
3382.37,1,8.0,0,0,3,30,11,4,0
4644.59,1,6.0,2,6,1,59,7,1,0
711.08,1,12.0,1,0,2,61,4,3,0
1985.36,2,0.0,2,0,4,8,12,4,0
339.61,1,12.0,0,6,4,102,9,0,0
3793.96,1,20.0,1,6,1,70,12,4,0
2241.43,2,10.0,0,4,0,56,10,4,0
3536.11,3,2.0,2,5,2,19,11,4,0
1614.36,4,12.0,1,2,2,19,9,4,0
4222.36,0,10.0,0,5,2,118,5,4,0
2676.47,3,12.0,0,1,3,62,8,0,0
4718.32,2,21.0,3,4,2,100,7,4,0
398.68,2,20.0,0,2,2,23,13,1,0
2573.81,4,22.0,3,1,1,51,9,4,0
3833.44,1,17.0,1,7,4,70,2,0,0
49997.8,0,3.0,2,0,3,103,6,4,0
120.85,0,14.0,1,5,4,8,4,1,0
4861.83,0,17.0,2,6,2,54,10,0,0
1494.83,3,19.0,0,5,1,25,1,0,0
1250.14,2,8.0,2,7,2,43,7,4,0
2430.87,0,8.0,1,2,2,78,9,3,0
2713.08,0,14.0,0,7,1,43,12,3,0
3832.61,1,12.0,0,1,2,13,5,0,0
1969.4,3,5.0,2,2,0,77,6,3,0
49997.8,2,1.0,0,5,3,78,9,4,0
2677.12,4,11.0,2,6,4,115,6,1,0
1974.96,1,18.0,0,2,0,84,1,1,0
4573.17,1,16.0,1,0,2,31,6,0,0
4257.0,1,15.0,0,3,1,22,3,4,0
2277.59,0,12.0,2,6,1,19,14,4,0
5.97,4,1.0,0,3,0,2,5,3,0
4505.17,3,21.0,0,7,2,98,2,4,0
626.06,2,3.0,0,3,1,75,7,0,0
1226.34,3,9.0,2,0,4,39,1,3,0
766.04,1,18.0,2,6,3,84,12,1,0
903.18,4,13.0,0,0,0,92,10,4,0
4015.37,3,4.0,3,0,1,84,12,0,0
2899.61,3,10.0,0,2,0,117,2,4,0
4780.7,1,11.0,0,2,3,38,1,1,0
1161.11,1,8.0,2,5,0,93,3,4,0
2524.1000000000004,3,4.0,2,3,1,54,8,3,0
4887.25,3,14.0,0,5,2,75,4,0,0
2524.1000000000004,0,21.0,1,3,0,70,5,3,0
3644.44,4,4.0,1,7,0,9,5,3,0
948.93,1,8.0,0,1,1,30,3,1,0
3848.18,2,14.0,2,1,1,77,2,3,0
1741.09,2,22.0,1,2,2,41,10,2,0
2655.03,1,4.0,1,3,1,90,3,4,0
3047.76,4,11.0,2,0,0,92,1,3,0
3048.77,2,22.0,0,0,3,111,13,0,0
3633.98,0,17.0,1,7,4,47,10,4,0
3310.2,1,23.0,0,2,4,33,8,1,0
346.51,2,6.0,0,0,1,42,3,4,1
2289.45,2,17.0,0,6,0,99,4,4,0
3321.79,1,2.0,2,5,4,32,13,2,0
1483.48,4,23.0,2,2,4,107,1,0,0
1568.72,1,12.0,3,0,4,4,5,1,0
627.21,3,20.0,2,6,3,54,11,1,0
2095.98,2,17.0,2,6,3,75,14,1,0
4934.22,3,9.0,2,0,0,48,11,3,0
1430.17,4,6.0,1,3,2,106,2,0,0
2659.53,3,17.0,2,7,0,104,1,3,0
2524.1000000000004,4,18.0,2,5,2,16,10,4,0
72.42,1,0.0,2,0,4,45,9,1,1
4502.7,0,8.0,1,2,4,9,11,1,0
1935.82,0,20.0,2,2,4,84,13,4,0
4346.23,1,15.0,0,3,3,31,3,4,0
199.54,2,16.0,2,5,2,50,7,4,0
732.59,4,17.0,1,6,2,26,14,0,0
1616.03,3,8.0,1,0,3,104,10,3,0
1730.58,0,13.0,1,4,1,64,7,0,0
4239.73,3,23.0,0,0,3,10,12,4,0
60.95,3,16.0,0,0,3,39,14,0,0
3207.35,3,9.0,0,3,1,76,6,1,0
660.91,2,9.0,1,3,1,100,5,0,0
4116.96,0,21.0,0,4,1,40,3,4,0
3893.97,3,20.0,2,6,3,66,4,1,0
49997.8,3,18.0,2,6,2,85,2,3,0
1067.37,0,19.0,0,6,2,12,2,1,0
3174.3,3,9.0,1,3,0,70,4,4,0
785.51,4,21.0,1,1,4,102,12,4,0
954.17,0,12.0,3,1,3,116,12,1,0
3135.32,3,11.0,1,1,4,72,10,1,0
4956.19,2,11.0,2,3,2,39,3,0,0
4455.85,4,23.0,2,4,4,7,13,0,0
2967.57,1,7.0,0,4,4,84,3,1,0
2694.99,2,3.0,1,0,1,60,11,4,0
4991.93,1,12.0,1,6,1,109,13,0,1
2739.25,1,23.0,0,1,2,12,3,0,0
2103.48,3,2.0,2,2,4,93,14,3,0
4548.23,4,23.0,0,1,0,101,12,3,0
1174.75,3,14.0,0,5,0,66,2,4,0
492.14,2,12.0,0,4,2,101,14,4,0
2524.1000000000004,1,6.0,1,3,1,67,4,2,0
483.77,3,7.0,2,2,1,95,5,1,0
1868.88,2,17.0,2,4,1,6,9,4,0
49997.8,2,0.0,1,2,4,4,14,0,0
2739.95,1,11.0,0,7,4,63,14,4,0
4958.34,3,9.0,0,3,4,32,9,3,0
1108.8,4,13.0,2,2,4,50,14,3,0
1881.9,2,17.0,2,3,1,19,9,1,1
665.54,3,12.0,0,1,0,79,6,1,0
3040.03,4,4.0,0,0,3,11,2,1,1
3639.73,1,8.0,1,0,0,94,4,3,0
2524.1000000000004,4,23.0,2,0,0,25,14,0,0
49997.8,1,22.0,0,4,0,41,10,0,0
3106.34,2,19.0,2,4,4,117,8,3,0
2698.09,0,11.0,1,0,2,111,10,0,0
860.07,0,15.0,1,0,1,13,13,3,0
2031.38,2,10.0,1,2,0,69,12,1,0
2178.81,4,2.0,0,7,3,113,7,1,0
4913.18,0,19.0,1,6,1,65,6,3,0
4247.18,1,14.0,0,5,1,84,11,3,0
3673.18,2,7.0,0,1,3,49,10,1,0
4444.44,3,12.0,2,6,2,48,9,3,0
3678.74,0,5.0,2,3,2,119,9,1,0
4517.49,4,11.0,2,4,0,109,8,4,0
277.49,2,19.0,1,5,3,27,10,4,0
2283.05,0,2.0,2,2,1,76,5,1,0
3735.76,0,7.0,1,4,4,52,5,4,0
2918.56,2,17.0,2,1,4,75,5,4,0
879.95,3,7.0,2,0,3,100,1,4,0
1705.76,2,20.0,1,3,3,12,3,3,0
1592.28,3,8.0,2,1,3,22,5,0,0
1310.43,2,12.0,0,1,4,72,5,2,0
1718.96,1,9.0,2,7,4,59,5,4,0
2576.69,1,14.0,0,4,0,24,4,4,0
4275.07,2,7.0,0,1,2,23,6,1,0
3711.45,3,14.0,1,2,2,97,6,1,0
4177.07,0,18.0,0,7,0,28,9,3,0
4418.6,2,3.0,2,2,1,50,7,1,0
2083.67,0,11.0,1,3,0,15,14,1,1
1733.4,2,8.0,2,3,4,25,5,1,0
292.83,4,5.0,2,6,4,78,12,1,0
4652.81,3,14.0,2,3,0,2,6,3,0
333.79,4,18.0,2,5,4,18,8,1,0
3706.97,4,23.0,0,0,1,24,6,0,0
1893.65,3,12.0,0,2,4,9,9,3,0
4744.16,2,8.0,1,3,1,24,2,0,0
2100.91,3,10.0,1,4,2,20,1,4,0
4083.96,3,11.0,0,1,0,77,5,0,0
1416.86,1,17.0,1,2,4,35,5,3,1
1498.95,1,11.0,2,4,2,105,11,2,0
2979.62,0,20.0,1,5,1,45,12,3,1
4989.92,3,15.0,1,5,3,93,3,3,0
2590.27,4,12.0,2,6,4,24,14,0,0
4681.86,4,2.0,0,0,2,64,7,3,0
3932.32,1,0.0,3,1,4,62,5,1,0
3980.34,3,20.0,1,5,1,48,1,3,0
2182.62,2,6.0,0,3,3,75,4,0,0
1935.78,1,17.0,1,2,4,23,1,3,0
963.65,1,1.0,0,0,4,66,2,0,0
4819.89,4,10.0,1,0,1,47,2,0,0
4797.17,2,2.0,2,6,3,26,8,4,0
3736.6,2,9.0,2,0,3,31,4,3,0
1484.78,4,12.0,2,2,4,5,3,3,0
1229.67,4,23.0,0,5,0,27,12,3,0
4943.11,4,21.0,1,6,3,70,10,4,0
337.38,2,18.0,0,2,4,24,8,1,0
4218.6,2,18.0,2,2,0,62,7,0,1
1780.51,1,9.0,1,5,2,30,11,0,0
2097.25,0,22.0,1,1,4,38,13,4,0
4160.73,1,12.0,1,2,4,13,10,4,0
457.56,3,2.0,0,6,0,2,10,3,0
1774.08,0,1.0,1,2,0,4,4,4,0
4760.36,2,20.0,0,2,2,100,7,1,0
2524.1000000000004,1,12.0,2,6,1,83,11,0,0
3775.92,2,15.0,2,1,2,115,3,4,0
3788.74,0,16.0,2,3,1,2,1,3,0
307.55,2,12.0,2,4,2,57,13,0,0
1020.02,1,16.0,1,1,1,111,2,3,0
2458.86,0,19.0,0,0,1,41,10,3,0
1843.91,1,23.0,1,5,3,74,7,4,0
2057.51,1,7.0,1,7,3,110,14,1,0
3908.33,2,5.0,0,6,0,39,14,3,0
78.32,0,22.0,1,1,2,79,7,4,0
3304.16,2,7.0,2,1,3,22,10,3,0
5.55,0,22.0,0,0,3,115,14,3,0
319.98,3,1.0,0,3,4,38,13,1,0
2044.39,3,21.0,1,5,2,114,13,3,0
4205.54,0,19.0,3,5,1,13,7,4,0
729.25,2,16.0,1,2,3,18,14,1,0
2775.33,4,11.0,1,4,0,102,5,3,0
3394.13,0,0.0,2,4,4,113,8,0,0
1151.52,1,4.0,2,0,3,74,5,3,1
49997.8,3,18.0,2,4,4,109,12,4,0
4557.48,0,12.0,1,0,0,27,9,4,1
2563.58,0,12.0,1,0,1,82,4,4,0
790.83,0,12.0,0,5,1,77,2,3,0
3140.93,1,22.0,0,3,4,110,9,4,0
2963.04,2,9.0,1,2,1,29,14,4,0
139.64,4,21.0,2,5,3,39,2,1,1
2524.1000000000004,1,3.0,1,7,1,117,1,3,0
788.12,4,22.0,1,2,1,60,8,3,0
685.76,3,10.0,1,7,4,50,6,3,0
1301.03,4,19.0,0,2,1,21,4,3,1
2273.26,4,5.0,1,2,0,108,14,3,0
2524.1000000000004,3,2.0,1,1,4,54,6,1,0
4453.8,1,4.0,0,7,1,109,3,4,0
3062.49,1,11.0,1,3,0,89,7,4,0
49997.8,3,0.0,0,3,0,104,9,1,0
2637.56,1,12.0,1,4,2,44,10,1,0
453.9,2,10.0,0,1,1,4,14,1,0
2319.12,4,13.0,1,2,3,58,3,4,1
4111.05,1,13.0,0,0,4,44,13,1,0
974.55,4,21.0,1,0,3,87,9,0,0
460.62,1,13.0,2,5,3,21,8,0,0
1650.53,4,2.0,1,2,4,62,12,4,0
1947.54,3,13.0,0,5,2,10,14,4,0
1534.76,3,0.0,2,3,3,59,11,1,0
680.53,3,8.0,3,1,3,100,1,3,0
1257.95,2,21.0,0,6,1,23,11,3,0
3413.0,2,8.0,0,1,3,24,5,3,0
1932.71,3,12.0,2,7,2,97,5,1,0
3164.58,4,5.0,2,4,0,45,12,4,0
2683.84,3,2.0,0,6,2,50,5,1,0
2747.52,3,7.0,1,2,0,4,5,4,0
1246.51,0,5.0,0,2,1,39,7,3,0
2610.11,2,12.0,2,5,0,35,4,1,0
122.86,2,2.0,2,0,4,27,11,1,0
2161.56,3,14.0,1,3,4,95,3,4,0
2865.25,3,12.0,0,3,3,57,6,1,0
914.07,0,23.0,2,4,1,52,1,3,0
1286.51,0,3.0,1,6,1,96,9,3,0
1101.56,2,14.0,0,1,3,96,8,3,0
357.44,2,0.0,0,5,3,58,9,2,0
1742.55,2,4.0,0,0,1,114,4,4,0
4894.93,2,13.0,1,5,2,40,3,2,0
2524.1000000000004,4,9.0,0,0,1,35,13,3,0
2305.38,3,17.0,0,7,2,102,12,3,0
3267.17,4,20.0,0,6,0,61,8,0,0
3244.25,1,0.0,1,7,0,87,2,0,0
4749.73,2,14.0,2,3,1,34,1,3,0
4288.53,2,2.0,0,7,1,49,7,1,0
3970.78,3,13.0,2,4,2,72,8,0,0
4758.38,2,22.0,0,3,0,7,11,4,0
1157.67,2,11.0,1,4,2,36,8,3,0
3087.19,4,6.0,1,3,2,48,12,3,0
4436.55,1,19.0,1,0,1,25,6,0,0
3122.57,4,13.0,0,4,2,78,5,4,0
4887.22,0,18.0,1,1,4,9,3,0,0
506.26,2,3.0,2,5,1,101,11,4,0
2199.46,4,19.0,1,7,2,41,14,1,0
4886.93,3,12.0,1,3,4,114,8,4,0
2524.1000000000004,1,13.0,2,3,0,39,12,0,1
3699.08,1,7.0,1,6,3,29,5,0,0
156.86,3,17.0,0,2,3,84,2,4,0
3475.71,3,4.0,2,7,4,12,13,1,0
4673.46,2,20.0,1,6,2,54,4,3,0
1916.62,1,10.0,2,0,4,119,10,3,0
111.39,3,20.0,2,6,3,20,13,1,0
144.41,0,23.0,0,2,3,67,13,4,0
4460.66,1,8.0,0,6,3,57,12,1,0
3613.97,3,0.0,2,2,3,27,9,1,0
2524.1000000000004,4,5.0,2,5,0,70,12,0,1
277.68,3,7.0,1,4,4,75,1,0,0
4025.1,1,0.0,2,5,2,116,1,1,0
4050.25,2,3.0,1,7,0,40,5,1,0
607.01,0,12.0,3,2,1,11,1,1,0
1511.09,3,11.0,1,0,1,73,12,0,0
3901.23,1,23.0,1,2,2,91,14,1,1
2629.43,3,23.0,0,0,3,2,8,1,0
4783.14,3,20.0,1,5,1,45,11,1,0
2524.1000000000004,1,3.0,0,4,1,88,5,3,0
3386.4,4,14.0,1,1,3,20,2,0,0
2551.37,1,9.0,1,4,4,55,6,4,0
4715.11,1,6.0,1,3,4,61,7,0,0
2524.1000000000004,2,18.0,1,4,4,109,11,2,1
1152.83,3,0.0,1,2,3,73,10,0,0
1636.54,3,8.0,0,5,0,92,11,1,0
4264.61,1,4.0,3,0,4,33,8,3,0
2492.2,4,12.0,1,3,3,11,5,4,1
1774.49,2,14.0,2,1,4,119,8,3,0
2723.58,4,3.0,1,6,4,40,8,0,0
670.48,4,4.0,2,0,4,111,11,1,0
31.77,2,23.0,1,2,2,34,10,3,1
1406.52,2,17.0,2,5,2,19,3,1,1
3027.0,4,8.0,2,2,1,2,4,1,0
3559.85,4,12.0,1,1,0,67,12,0,0
4133.92,4,15.0,1,2,1,98,7,3,0
4633.68,3,6.0,0,7,2,76,5,3,0
2063.5,3,3.0,0,4,1,60,5,0,0
3703.88,3,17.0,2,0,2,12,2,3,0
49997.8,3,6.0,2,0,2,85,14,3,0
292.36,2,5.0,0,5,4,11,8,0,0
628.37,1,14.0,2,7,1,117,1,1,0
2245.6,3,0.0,2,2,0,75,4,4,0
1060.35,4,3.0,0,5,4,100,7,2,0
1438.19,1,13.0,2,1,4,77,10,3,0
3241.16,3,22.0,2,4,2,6,6,1,0
1795.82,0,12.0,1,3,3,15,6,4,0
2524.1000000000004,0,6.0,1,7,2,94,7,0,0
2064.96,2,18.0,0,7,0,117,3,1,0
849.0,0,4.0,1,4,3,22,10,4,0
374.73,2,11.0,2,0,3,11,12,3,0
1184.98,2,3.0,2,3,3,73,1,1,0
293.21,2,20.0,1,0,0,47,13,0,0
3094.97,1,16.0,1,0,4,27,4,4,0
3979.61,1,12.0,2,3,3,27,12,0,0
1702.01,0,11.0,0,5,4,43,1,0,0
1938.62,1,9.0,1,7,0,84,1,0,0
4081.87,3,15.0,0,0,4,5,6,1,0
1116.95,2,7.0,2,1,3,15,2,4,0
600.21,3,23.0,1,4,3,91,14,3,0
2508.08,1,19.0,1,6,0,106,2,0,0
3232.72,4,14.0,1,6,2,11,4,4,0
3000.27,1,2.0,1,1,2,100,10,3,0
3570.8,2,3.0,2,1,1,45,13,4,0
288.47,4,4.0,0,3,3,19,8,3,0
2143.87,4,4.0,0,2,4,109,13,1,0
1196.66,2,15.0,2,2,0,59,3,4,0
3796.81,0,12.0,1,0,0,69,3,4,0
4364.29,1,9.0,0,4,3,59,2,0,0
1410.27,1,4.0,2,4,3,60,4,1,0
480.61,4,20.0,1,6,0,81,7,0,0
1270.87,4,12.0,0,0,1,86,6,4,0
524.52,2,13.0,0,0,1,21,4,1,0
1615.5,2,9.0,1,1,2,119,2,4,0
2693.3,0,17.0,2,2,1,50,6,1,0
4868.54,4,16.0,0,4,2,70,7,4,0
1999.85,1,3.0,2,0,2,37,8,3,0
1104.1,2,0.0,0,4,3,70,5,0,0
2524.1000000000004,3,6.0,0,0,4,27,11,1,0
869.33,1,10.0,2,3,1,66,8,4,0
967.03,4,10.0,0,6,4,17,11,0,0
3812.52,2,17.0,0,4,3,88,2,0,0
309.83,2,17.0,1,0,0,49,12,4,0
4987.03,3,8.0,0,5,3,20,3,1,0
2615.82,0,17.0,2,0,0,69,3,4,0
2723.64,1,15.0,2,5,1,3,9,4,0
49997.8,2,17.0,2,1,3,37,7,2,1
3452.83,0,18.0,0,5,0,81,3,0,0
